Ley Orgánica;Hombres;Mujeres;Total
Homicidio y sus formas;3.358;231;3.589
Lesiones;2.450;147;2.597
Contra la Libertad;841;61;902
Contra la Libertad Sexual;2.955;62;3.017
Contra el Honor;1;0;1
Delitos y Faltas de Violencia de Género;3.882;19;3.901
Contra las Relaciones Familiares;173;6;179
Contra el Patrimonio y el orden socioeconómico;19.541;1.221;20.762
Contra la Salud Pública;12.550;1.970;14.520
Contra la Seguridad del Tráfico;1.187;24;1.211
Falsedades;814;89;903
Contra la Administración y Hacienda Pública;177;11;188
Contra la Administración de Justicia;673;72;745
Contra el Orden Público;1.995;113;2.108
Resto de Delitos;757;63;820
Por Faltas;110;13;123
No Consta Delito;3;1;4
Total;51.467;4.103;55.570
