Nacionalidad;Internos;;;;;
;Hombres;%;Mujeres;%;Total;%
Alemania;135;0,6;24;1,3;159;0,7
Austria;15;0,1;1;0,1;16;0,1
Bélgica;66;0,3;2;0,1;68;0,3
Bulgaria;282;1,3;27;1,5;309;1,3
Chipre*;0;0,0;0;0,0;0;0,0
Dinamarca;11;0,1;0;0,0;11;0,0
Eslovaquia*;11;0,1;3;0,2;14;0,1
Eslovenia;18;0,1;0;0,0;18;0,1
Estonia*;34;0,2;1;0,1;35;0,2
Finlandia;4;0,0;0;0,0;4;0,0
Francia;309;1,5;20;1,1;329;1,4
Grecia;16;0,1;0;0,0;16;0,1
Hungría;21;0,1;11;0,6;32;0,1
Irlanda;25;0,1;3;0,2;28;0,1
Italia;307;1,5;13;0,7;320;1,4
Letonia*;43;0,2;5;0,3;48;0,2
Lituania*;181;0,9;9;0,5;190;0,8
Luxemburgo;0;0,0;0;0,0;0;0,0
Malta;2;0,0;0;0,0;2;0,0
Países Bajos;122;0,6;18;1,0;140;0,6
Polonia;162;0,8;20;1,1;182;0,8
Portugal;439;2,1;47;2,6;486;2,1
Reino Unido;192;0,9;9;0,5;201;0,9
República Checa;34;0,2;4;0,2;38;0,2
Rumanía;2.171;10,3;167;9,2;2.338;10,2
Suecia;5;0,0;0;0,0;5;0,0
Unión Europea;4.605;21,8;384;21,3;4.989;21,8
Argelia;701;3,3;1;0,1;702;3,1
Colombia;2.173;10,3;340;18,8;2.513;11,0
Ecuador;1.098;5,2;107;5,9;1.205;5,3
Marruecos;5.918;28,1;134;7,4;6.052;26,4
Nigeria;530;2,5;75;4,2;605;2,6
Venezuela;284;1,3;49;2,7;333;1,5
Otros;5.777;27,4;717;39,7;6.494;28,4
Total;21.086;100,0;1.807;100,0;22.893;100,0
