comunidad autónoma;HOMBRES;MUJERES;TOTAL
Andalucía;14.601;1.166;15.767
Aragón;2.113;126;2.239
Asturias, Principado de ;1.319;118;1.437
Balears, Illes;1.660;130;1.790
Canarias;3.391;317;3.708
Cantabria;618;31;649
Castilla y León;5.028;386;5.414
Castilla-La Mancha;1.929;38;1.967
Cataluña;9.378;663;10.041
Comunitat Valenciana;6.600;585;7.185
Extremadura;1.197;66;1.263
Galicia;3.428;211;3.639
Madrid, Comunidad de ;8.103;1.058;9.161
Murcia, Región de ;1.543;113;1.656
Navarra, Comunidad Foral de ;288;29;317
País Vasco;1.272;132;1.404
La Rioja;351;18;369
Ceuta;247;21;268
Melilla;306;17;323
Total;63.372;5.225;68.597
;;;
;;;
;;;
;;;
