Año;HOMBRES;MUJERES;TOTAL
1990;30.454;2.604;33.058
1991;34.620;3.237;37.857
1992;38.200;3.694;41.894
1993;41.742;4.334;46.076
1994;42.684;4.460;47.144
1995;40.739;4.217;44.956
1996;38.030;3.873;41.903
1997;38.778;3.978;42.756
1998;40.404;3.966;44.370
1999;40.465;3.732;44.197
2000;41.451;3.653;45.104
2001;43.666;3.905;47.571
2002;47.750;4.132;51.882
2003;51.686;4.410;56.096
2004;54.805;4.570;59.375
2005;56.291;4.763;61.054
2006;58.912;5.109;64.021
2007;61.508;5.592;67.100
2008;67.608;5.950;73.558
2009;70.003;6.076;76.079
2010;68.141;5.788;73.929
2011;65.184;5.288;70.472
2012;63.372;5.225;68.597
